iter	MultiClass
0	2.580090634
1	2.512062064
2	2.452442071
3	2.384079815
4	2.345320448
5	2.297732921
6	2.2664344
7	2.228479545
8	2.181956852
9	2.112158266
10	2.076099586
11	2.025813568
12	1.994802618
13	1.955124727
14	1.915515842
15	1.869253452
16	1.841279169
17	1.802203939
18	1.782590825
19	1.754426905
20	1.742146053
21	1.697162385
22	1.664011806
23	1.634781686
24	1.612140429
25	1.589758032
26	1.570801748
27	1.555434559
28	1.533624205
29	1.491301375
30	1.47780107
31	1.462063801
32	1.443131584
33	1.414437303
34	1.401103309
35	1.369392347
36	1.343134813
37	1.332432449
38	1.31476066
39	1.301124326
40	1.292688485
41	1.282929687
42	1.266139257
43	1.251554706
44	1.230423505
45	1.211182091
46	1.199938014
47	1.190438338
48	1.177475057
49	1.159603636
50	1.15088487
51	1.140670309
52	1.126312372
53	1.119055133
54	1.101249483
55	1.087079092
56	1.074271986
57	1.06387577
58	1.049406668
59	1.043262174
60	1.027759789
61	1.02188453
62	1.010036541
63	0.9920395607
64	0.9793105659
65	0.9674026537
66	0.9590990199
67	0.949224497
68	0.9418987697
69	0.9260188338
70	0.9135586682
71	0.9048354281
72	0.8986103487
73	0.8876991842
74	0.8701583953
75	0.8509099183
76	0.8412696354
77	0.8249230713
78	0.8166522076
79	0.812687734
80	0.8025545461
81	0.7941206244
82	0.7838621033
83	0.7715189398
84	0.7612741862
85	0.7564412014
86	0.7382205783
87	0.7303679837
88	0.7240484886
89	0.7167881486
90	0.702536085
91	0.6984865265
92	0.6899586028
93	0.6859552293
94	0.6765455013
95	0.664684493
96	0.6548688156
97	0.6416787078
98	0.6326321325
99	0.6228715213
100	0.6123008593
101	0.6088197123
102	0.5960529831
103	0.5883615089
104	0.5788409281
105	0.5697750073
106	0.5594042878
107	0.5524866706
108	0.5455714356
109	0.5437607942
110	0.5357952798
111	0.5328335707
112	0.526483505
113	0.5255536974
114	0.5188840461
115	0.5124388237
116	0.5116620069
117	0.5050584075
118	0.5025353015
119	0.4969772255
120	0.4950289792
121	0.4916427408
122	0.4897494495
123	0.4824822668
124	0.476392334
125	0.4756517015
126	0.4748628829
127	0.4726781344
128	0.4680047088
129	0.4609803105
130	0.459227216
131	0.4548217138
132	0.4531414467
133	0.4518321985
134	0.4501394583
135	0.4415982278
136	0.436788196
137	0.430244111
138	0.4298319731
139	0.4247683704
140	0.4234753919
141	0.4228606074
142	0.4222986108
143	0.4166419257
144	0.4161463825
145	0.4157870045
146	0.4090052891
147	0.4071480697
148	0.4054224432
149	0.4001213017
150	0.3994321544
151	0.3985557428
152	0.3946063921
153	0.3932616815
154	0.3911799313
155	0.3875320607
156	0.3867172504
157	0.3822884806
158	0.3808408728
159	0.3798609271
160	0.3776275339
161	0.3760558385
162	0.3753998235
163	0.3748724933
164	0.3745247778
165	0.3739193374
166	0.3695248009
167	0.3646750932
168	0.361073632
169	0.3554862025
170	0.3517898711
171	0.3458347668
172	0.3452408354
173	0.3436479679
174	0.3391269276
175	0.3388129842
176	0.3364540587
177	0.3359851999
178	0.3348305124
179	0.3328917463
180	0.3322488008
181	0.332047578
182	0.3315419952
183	0.3276819026
184	0.3262281769
185	0.325637406
186	0.3242341522
187	0.3238576274
188	0.3232590103
189	0.3224530094
190	0.3205487492
191	0.3194417128
192	0.3191784613
193	0.3167997871
194	0.3164912632
195	0.3160178748
196	0.3137093721
197	0.3135083749
198	0.3117947567
199	0.3112229455
200	0.3087545692
201	0.3059365855
202	0.3038961445
203	0.3035082268
204	0.3030165188
205	0.3026700582
206	0.3023930407
207	0.3020824207
208	0.3002908442
209	0.2994363859
210	0.2969073301
211	0.2955466101
212	0.2933721669
213	0.2924689591
214	0.2879536107
215	0.2856070054
216	0.2850378112
217	0.282616534
218	0.2820869485
219	0.281537783
220	0.2812464846
221	0.2810161067
222	0.2802523471
223	0.278412569
224	0.276511234
225	0.274686529
226	0.2741762717
227	0.2739868941
228	0.271397325
229	0.2707392737
230	0.2681339223
231	0.2674477352
232	0.266582316
233	0.2661910483
234	0.26568936
235	0.2638643565
236	0.263673647
237	0.2610507356
238	0.2608357631
239	0.2605766791
240	0.2602095442
241	0.2594518317
242	0.2592116353
243	0.2583614536
244	0.2572185878
245	0.2539635822
246	0.2536783308
247	0.2534676145
248	0.249770722
249	0.2494372334
250	0.2459589407
251	0.245744621
252	0.2425036485
253	0.2418448934
254	0.2415800354
255	0.2394679296
256	0.2393283067
257	0.2391517951
258	0.2389070134
259	0.2386885264
260	0.2363117047
261	0.2360134535
262	0.2356411183
263	0.2354907651
264	0.2352913723
265	0.23357043
266	0.2332728736
267	0.2330711747
268	0.2312980897
269	0.2310760075
270	0.2286587128
271	0.2269873967
272	0.2267796671
273	0.2247256123
274	0.2244075091
275	0.2231267119
276	0.2229501685
277	0.2228000454
278	0.2212840105
279	0.2211016761
280	0.2209392843
281	0.2207121185
282	0.2183726948
283	0.2182146881
284	0.2180472876
285	0.2162803677
286	0.2160972575
287	0.2140879182
288	0.213711427
289	0.2135107432
290	0.2133327357
291	0.2131537247
292	0.2127539337
293	0.211307702
294	0.208357448
295	0.2066315526
296	0.2064014516
297	0.2056586558
298	0.2053807646
299	0.2052418759
300	0.2050923244
301	0.204824801
302	0.2029590415
303	0.2027785334
304	0.2025497345
305	0.2023847331
306	0.2022336712
